,sqft,price,beds,baths,address,city,zip_code
274,886 sq ft,"$378,812",1 bed,1 bath,380 W 200 S #307, Salt Lake City, 84101
275,"1,556 sq ft","$524,850",4 beds,2 baths,350 N Marion St W, Salt Lake City, 84116
276,"1,616 sq ft","$715,000",3 beds,1.5 baths,931 E Laird Ave S, Salt Lake City, 84105
277,"1,440 sq ft","$109,000",3 beds,2 baths,1558 W Harvest St, Salt Lake City, 84116
278,400 sq ft,"$330,000",1 bed,1 bath,360 W Broadway #242, Salt Lake City, 84101
279,"2,373 sq ft","$550,000",5 beds,3 baths,1917 W General Dr N, Salt Lake City, 84116
280,900 sq ft,"$86,500",3 beds,2 baths,5083 S Esondido St W, Salt Lake City, 84117
281,"3,304 sq ft","$965,000",5 beds,3 baths,2462 E 3750 S, Millcreek, 84109
282,"1,491 sq ft","$489,900",3 beds,1 bath,3975 S 1500 E, Salt Lake City, 84124
283,"1,748 sq ft","$599,000",3 beds,2 baths,327 E Coatsville Ave S, Salt Lake City, 84115
284,"4,059 sq ft","$1,195,000",4 beds,5 baths,1022 E 800 S, Salt Lake City, 84102
285,"3,002 sq ft","$1,389,000",5 beds,2.5 baths,2106 S 2200 E, Salt Lake City, 84109
286,"2,180 sq ft","$699,000",3 beds,2 baths,1180 E Bonita Dr, Millcreek, 84106
287,"3,134 sq ft","$849,000",7 beds,4 baths,182 E Kelsey Ave S, Salt Lake City, 84111
288,"1,434 sq ft","$499,999",3 beds,2.5 baths,457 N Beaumont Ct W, Salt Lake City, 84116
289,"13,631 sq ft","$4,400,000",30 beds,22 baths,240 N Spencer Ct, Salt Lake City, 84103
290,"2,360 sq ft","$525,000",3 beds,2 baths,858 S Jefferson St, Salt Lake City, 84101
291,"1,140 sq ft","$410,000",3 beds,1.5 baths,4250 W 5655 S, Salt Lake City, 84118
292,"1,772 sq ft","$646,250",3 beds,2.5 baths,365 W 800 N #7, Salt Lake City, 84103
293,925 sq ft,"$339,900",2 beds,1 bath,310 S 300 E Unit A1, Salt Lake City, 84111
294,712 sq ft,"$352,000",2 beds,1 bath,228 E 500 S #203, Salt Lake City, 84111
295,"1,833 sq ft","$560,000",4 beds,2 baths,2502 E Wilmington Ave, Millcreek, 84109
296,"1,997 sq ft","$825,000",3 beds,3 baths,1438 E Roosevelt Ave S, Salt Lake City, 84105
297,"5,388 sq ft","$3,995,000",5 beds,4.5 baths,2681 E Roxbury Cir, Salt Lake City, 84108
298,832 sq ft,"$359,900",2 beds,1 bath,158 E Downington Ave, Salt Lake City, 84115
299,"1,632 sq ft","$409,900",3 beds,2 baths,4552 W 5135 S, Kearns, 84118
300,"6,180 sq ft","$2,625,000",5 beds,4.5 baths,1205 E South Temple St, Salt Lake City, 84102
301,"1,915 sq ft","$477,900",4 beds,2 baths,709 S Navajo St, Salt Lake City, 84104
302,"3,111 sq ft","$898,900",6 beds,5 baths,1327 E Mill Meadow Ln #4 S, Millcreek, 84124
303,"1,238 sq ft","$425,000",2 beds,2.5 baths,1034 W 1700 S #120, Salt Lake City, 84104
304,"1,668 sq ft","$458,500",3 beds,2.5 baths,1423 N General Dr, Salt Lake City, 84116
305,"1,166 sq ft","$449,500",2 beds,1 bath,737 S 900 W, Salt Lake City, 84104
306,840 sq ft,"$350,000",2 beds,1 bath,1172 Concord St, Salt Lake City, 84104
307,"3,377 sq ft","$879,900",6 beds,2 baths,1415 E Hollywood Ave S Unit 34 &35, Salt Lake City, 84105
308,476 sq ft,"$285,000",1 bed,1 bath,450 E 100 S #25, Salt Lake City, 84111
309,"1,794 sq ft","$410,000",2 beds,1 bath,5075 W Milstead Ln, Salt Lake City, 84118
310,"2,971 sq ft","$889,900",5 beds,4 baths,1323 E Mill Meadow Ln #3 S, Millcreek, 84124
311,938 sq ft,"$320,000",2 beds,1 bath,893 E Arnecia Ct S #21, Millcreek, 84106
312,"1,468 sq ft","$478,000",2 beds,2 baths,2665 E Parleys Way #108, Salt Lake City, 84109
313,"1,470 sq ft","$409,950",4 beds,2.5 baths,1771 W 1300 N Unit C, Salt Lake City, 84116
314,"5,108 sq ft","$1,320,000",5 beds,3.5 baths,3059 S Lola Cir, Millcreek, 84109
315,"1,725 sq ft","$565,500",2 beds,2 baths,3075 E Kennedy Dr #204, Salt Lake City, 84108
316,"1,990 sq ft","$435,000",3 beds,1 bath,1003 W Sterling Dr, Salt Lake City, 84116
317,"2,376 sq ft","$1,100,000",3 beds,3 baths,2087 S Belaire Dr, Salt Lake City, 84109
318,"1,475 sq ft","$649,000",3 beds,2 baths,141 E 2nd Ave #802, Salt Lake City, 84103
319,"1,929 sq ft","$899,444",3 beds,3 baths,48 E 200 N, Salt Lake City, 84103
320,"2,256 sq ft","$660,000",3 beds,2.5 baths,4588 S College Ridge Ct, Millcreek, 84117
321,"2,280 sq ft","$869,995",3 beds,2.5 baths,1180 E Princeton Ave S, Salt Lake City, 84105
322,"3,443 sq ft","$1,285,000",3 beds,2.5 baths,799 Northpoint Ct, Salt Lake City, 84103
323,"1,602 sq ft","$455,000",3 beds,2.5 baths,582 E 4010 S, Murray, 84107
324,"1,918 sq ft","$480,000",5 beds,3 baths,1150 S Prospect W, Salt Lake City, 84104
325,"1,018 sq ft","$510,000",2 beds,2 baths,350 S 200 E #711, Salt Lake City, 84111
326,"1,085 sq ft","$389,999",2 beds,1 bath,310 S 300 E Unit A5, Salt Lake City, 84111
327,"1,440 sq ft","$379,900",3 beds,1.5 baths,4566 W 4985 S, Salt Lake City, 84118
328,"5,880 sq ft","$2,600,000",8 beds,6.5 baths,2446 E Evergreen Ave, Millcreek, 84109
329,"2,441 sq ft","$775,000",5 beds,3 baths,4361 S 645 E, Salt Lake City, 84107
330,"3,149 sq ft","$859,900",4 beds,3 baths,1120 E Taitlynn Cir, Millcreek, 84106
331,"1,510 sq ft","$525,000",2 beds,2 baths,48 W Broadway S Unit 1106N, Salt Lake City, 84101
332,"1,779 sq ft","$579,000",4 beds,2 baths,363 S 900 W, Salt Lake City, 84104
333,"1,183 sq ft","$529,000",3 beds,1 bath,4111 S 1500 E, Holladay, 84124
334,"1,444 sq ft","$469,300",2 beds,1 bath,155 S Dooley Ct, Salt Lake City, 84102
335,826 sq ft,"$284,995",2 beds,1 bath,650 N 300 W #235, Salt Lake City, 84103
336,563 sq ft,"$300,000",1 bed,1 bath,234 E 100 S Unit B6, Salt Lake City, 84111
