,sqft,price,beds,baths,address,city,zip_code
63,605 sq ft,"$175,000",1 bed,1 bath,751 S 300 E Unit D304, Salt Lake City, 84111
64,"1,316 sq ft","$525,000",2 beds,1.5 baths,625 E 200 S #1, Salt Lake City, 84102
65,"2,048 sq ft","$469,900",5 beds,3 baths,801 W Genesee Ave S, Salt Lake City, 84104
66,"1,620 sq ft","$450,000",4 beds,2 baths,845 W 1300 S, Salt Lake City, 84104
67,"3,297 sq ft","$1,549,000",4 beds,3 baths,2543 E 1700 S, Salt Lake City, 84108
68,"1,238 sq ft","$415,000",2 beds,2.5 baths,1034 W 1700 S #122, Salt Lake City, 84104
69,"8,430 sq ft","$3,969,000",10 beds,10 baths,5934 S Cougar Ln, Salt Lake City, 84118
70,960 sq ft,"$380,000",2 beds,1 bath,553 E 1st Ave #3, Salt Lake City, 84103
71,"3,895 sq ft","$3,050,000",4 beds,3.5 baths,1484 E Harvard Ave, Salt Lake City, 84105
72,"3,063 sq ft","$1,100,000",4 beds,3 baths,2027 E 900 S, Salt Lake City, 84108
73,"1,132 sq ft","$665,000",2 beds,2.5 baths,847 S 800 E #114, Salt Lake City, 84102
74,"3,000 sq ft","$1,795,000",4 beds,3.5 baths,4294 S Fortuna Way, Salt Lake City, 84124
75,"1,830 sq ft","$1,350,000",2 beds,2 baths,55 W South Temple St S #504, Salt Lake City, 84101
76,"2,010 sq ft","$525,000",4 beds,2 baths,1611 S 1300 W, Salt Lake City, 84104
77,"1,310 sq ft","$469,000",3 beds,1 bath,371 E Coatsville Ave, Salt Lake City, 84115
78,926 sq ft,"$635,000",1 bed,1 bath,45 W South Temple #801, Salt Lake City, 84101
79,775 sq ft,"$409,000",1 bed,1 bath,875 S Donner Way #1208, Salt Lake City, 84108
80,"2,568 sq ft","$1,500,000",3 beds,3.5 baths,860 E 3rd Ave N #1, Salt Lake City, 84103
81,"3,003 sq ft","$1,650,000",3 beds,3.5 baths,171 E 3rd Avenue Ave N #802, Salt Lake City, 84103
82,"2,035 sq ft","$1,150,000",3 beds,2.5 baths,1766 E Cornell Cir S, Salt Lake City, 84108
83,"1,280 sq ft","$375,000",3 beds,1.5 baths,475 N Redwood Rd #29, Salt Lake City, 84116
84,"1,509 sq ft","$650,000",2 beds,2 baths,48 W Broadway Unit 2505N, Salt Lake City, 84101
85,"3,172 sq ft","$925,000",2 beds,3 baths,3000 S Connor St #27, Salt Lake City, 84109
86,"3,024 sq ft","$750,000",3 beds,2.5 baths,3526 S 2700 E, Millcreek, 84109
87,"2,348 sq ft","$910,000",4 beds,2 baths,673 E 7th Ave, Salt Lake City, 84103
88,"2,060 sq ft","$749,900",3 beds,3.5 baths,726 S 300 E #10, Salt Lake City, 84111
89,796 sq ft,"$349,900",1 bed,1 bath,350 S 200 E #706, Salt Lake City, 84111
90,"2,279 sq ft","$1,199,000",3 beds,2.5 baths,44 W Broadway S Unit 1205S, Salt Lake City, 84101
91,"3,167 sq ft","$1,159,000",5 beds,3 baths,1487 S 1600 E, Salt Lake City, 84105
92,900 sq ft,"$335,000",2 beds,1 bath,857 W Simondi Ave, Salt Lake City, 84116
93,"1,401 sq ft","$399,000",2 beds,2.5 baths,971 W 1700 S #105, Salt Lake City, 84104
94,"1,952 sq ft","$649,900",3 beds,2.5 baths,1618 S Main St E #2, Salt Lake City, 84115
95,"6,240 sq ft","$1,599,000",6 beds,9 baths,376 E 5th Ave N, Salt Lake City, 84103
96,"2,033 sq ft","$867,499",3 beds,3 baths,667 E 7th Ave N, Salt Lake City, 84103
